# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 4194304 maxBytes 1073741824 step: 2(factor) warmup iters: 50 iters: 5 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 4143865 on a4000-224n3 device  0 [0000:01:00] NVIDIA GeForce RTX 3090
#  Rank  1 Group  0 Pid 4143865 on a4000-224n3 device  1 [0000:41:00] NVIDIA GeForce RTX 3090
#  Rank  2 Group  0 Pid 4143865 on a4000-224n3 device  2 [0000:81:00] NVIDIA GeForce RTX 3090
#  Rank  3 Group  0 Pid 4143865 on a4000-224n3 device  3 [0000:c1:00] NVIDIA GeForce RTX 3090
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
     4194304       1048576     float     sum      -1   985.63    4.26    6.38       0  1018.48    4.12    6.18       0
     8388608       2097152     float     sum      -1  1967.87    4.26    6.39       0  1978.72    4.24    6.36       0
    16777216       4194304     float     sum      -1  3927.82    4.27    6.41       0  3932.03    4.27    6.40       0
    33554432       8388608     float     sum      -1  7871.17    4.26    6.39       0  7828.52    4.29    6.43       0
    67108864      16777216     float     sum      -1  15634.0    4.29    6.44       0  15670.4    4.28    6.42       0
   134217728      33554432     float     sum      -1  31322.9    4.28    6.43       0  31284.5    4.29    6.44       0
   268435456      67108864     float     sum      -1  62874.0    4.27    6.40       0  62783.1    4.28    6.41       0
   536870912     134217728     float     sum      -1   126450    4.25    6.37       0   126153    4.26    6.38       0
  1073741824     268435456     float     sum      -1   254146    4.22    6.34       0   254381    4.22    6.33       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 6.38382 
#
# Collective test concluded: all_reduce_perf
#

